Autor A,Autor B
Walter Benjamin,Aby Warburg
Fernand Braudel,Lucien Febvre
Eginardo,Vitruvio
Bocaccio,Plinio el Viejo
Eginardo,Suetonio
San Benito de Aniano,San Benito de Nursia
Julius von Schlosser,Teófilo Presbítero
Lessing,Teófilo Presbítero
Bernardo de Claraval,Abad Suger
Guillermo de Saint Thierry,Bernardo de Claraval
Alberti,Miguel Ángel
Julius von Schlosser,Giorgio Vasari
Giovanni Battista Gelli,Giorgio Vasari
Benvenuto Cellini,Giorgio Vasari
Raffaello Borghini,Giorgio Vasari
Ludovico Dolce,Giorgio Vasari
Giovanni P. Lomazzo,Miguel Ángel
Federico Zuccaro,Giorgio Vasari
Gabrielle Paleotti,Federico Zuccaro
Federico Zuccaro,Miguel Ángel
Gregorio Comanini,Arcimboldo
Giovanni Baglione,Giorgio Vasari
Alois Riegl,Giovanni Baglione
Alois Riegl,Bellori
Alois Riegl,Passeri
Bellori,Giovanni Baglione
Giovio,Giorgio Vasari
Baldinucci,Giorgio Vasari
Carlo Ridolfi,Giorgio Vasari
Panofsky,Bellori
Panofsky,Abad Suger
Bellori,Nicolas Poussin
Bellori,Caravaggio
Bellori,Guido Reni
Karel van Mander,Giorgio Vasari
Karel van Mander,Plinio el Viejo
Joachin von Sandrart,Giorgio Vasari
Joachin von Sandrart,Carlo Ridolfi
Winckelmann,Giorgio Vasari
Pacheco,Giorgio Vasari
Pacheco,Pablo de Céspedes
Pacheco,Domenico Lampsonio
Pacheco,Karel van Mander
Karel van Mander,Domenico Lampsonio
Karel van Mander,Julius von Schlosser
Jusepe Martínez,Pacheco
Antonio Palomino,Giorgio Vasari
Antonio Palomino,Vicente Carducho
Antonio Palomino,Díaz del Valle
Antonio Palomino,Juan de Alfaro
Ceán Bermúdez,Antonio Palomino
Jacob Burckhardt,Sigmund Freud
Alois Riegl,Sigmund Freud
Panofsky,Sigmund Freud
Aby Warburg,Sigmund Freud
Winckelmann,Mengs
Baumgarten,Winckelmann
Goethe,Winckelmann
Lessing,Winckelmann
Laugier,Winckelmann
Christian Gottlob Heyne,Winckelmann
Madame de Staël,Winckelmann
Herder,Winckelmann
Johann Gregor Hamman,Winckelmann
Hegel,Jacob Burckhardt
Hegel,Alois Riegl
Panofsky,Alois Riegl
Max Dvořák,Jacob Burckhardt
Alois Riegl,Max Dvořák
Alois Riegl,Gottfried Semper
Winckelmann,Gottfried Semper
Jacob Burckhardt,Heinrich Wölfflin
Hippolyte Taine,Jacob Burckhardt
Ernst Gombrich,Jacob Burckhardt
Johan Huizinga,Jacob Burckhardt
Alois Riegl,Jacob Burckhardt
Alois Riegl,Hippolyte Taine
Alois Riegl,Sigmund Freud
Ernst Gombrich,Alois Riegl
Alois Riegl,Julius von Schlosser
Wickhoff,Julius von Schlosser
Julius von Schlosser,Panofsky
Bernard Berenson,Giovanni Morelli
Konrad Fiedler,Immanuel Kant
Konrad Fiedler,Arthur Schopenhauer
Konrad Fiedler,Herbart
Konrad Fiedler,Zimmermann
Adolf von Hildebrand,Konrad Fiedler
Alois Riegl,Adolf von Hildebrand
Heinrich Wölfflin,Wittkower
Heinrich Wölfflin,Konrad Fiedler
Heinrich Wölfflin,Adolf von Hildebrand
Panofsky,Heinrich Wölfflin
Bernard Berenson,Roger Fry
Bernard Berenson,Wickhoff
Tolstoi,Roger Fry
Roger Fry,Nicolas Poussin
Panofsky,Ernst Cassirer
Panofsky,Aby Warburg
Ernst Cassirer,Immanuel Kant
Ernst Cassirer,Hegel
Aby Warburg,Lamprecht
Jacob Burckhardt,Lamprecht
Aby Warburg,August Schmarsow
Robert Vischer,August Schmarsow
Lipps,August Schmarsow
Volkelt,August Schmarsow
Aby Warburg,Winckelmann
Aby Warburg,Nietzsche
Edgard Wind,Aby Warburg
Panofsky,Max Dvořák
Worringer,Alois Riegl
Worringer,Nietzsche
Worringer,Lipps
Worringer,Konrad Fiedler
Worringer,Volkelt
Worringer,Focillon
Kandinsky,Worringer
Gabrielle Münter,Kandinsky
Sigmund Freud,Ernst Gombrich
Sigmund Freud,Ernst Cassirer
Carl Jung,Ernst Cassirer
Carl Jung,Aby Warburg
Carl Jung,Richard Semon
Carl Jung,Worringer
Mircea Eliade,Carl Jung
Joseph Campbell,Carl Jung
Rudolf Arnheim,Clive Bell
Rudolf Arnheim,Aby Warburg
Ernst Gombrich,Aby Warburg
Ernst Gombrich,Max Dvořák
Ernst Gombrich,Julius von Schlosser
Ernst Gombrich,Karl Popper
Frederic Antal,Heinrich Wölfflin
Frederic Antal,Max Dvořák
Arnold Hauser,Max Dvořák
Svetlana Alpers,Michael Baxandall
Nicos Hadjinicolau,Arnold Hauser
